Protein,ProteinDescription,ProteinGene,EV13_SAXN_12mz_10 Sum NormalizedArea,EV14_SAXN_12mz_17 Sum NormalizedArea,EV15_SAXN_12mz_31 Sum NormalizedArea,Total04_HydN_12mz_42 Sum NormalizedArea,Total05_HydN_12mz_38 Sum NormalizedArea,Total06_HydN_12mz_40 Sum NormalizedArea
sp|Q9BSJ8|ESYT1_HUMAN,Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,ESYT1,809491102.97,744419814.41,729516794.72,176621075.91,191977251.07,139598830.17
sp|Q9Y251|HPSE_HUMAN,Heparanase OS=Homo sapiens OX=9606 GN=HPSE PE=1 SV=2,HPSE,766604008.05,675567653.10,669762999.55,170704154.09,191475317.18,48202790.39
sp|Q9UNP9|PPIE_HUMAN,Peptidyl-prolyl cis-trans isomerase E OS=Homo sapiens OX=9606 GN=PPIE PE=1 SV=1,PPIE,292478812.13,349142414.56,296229577.46,21133870.93,190538035.43,7395992.18
sp|Q92542|NICA_HUMAN,Nicastrin OS=Homo sapiens OX=9606 GN=NCSTN PE=1 SV=2,NCSTN,8907307.45,7304489.18,9119528.38,96262163.31,189932974.58,148007464.42
sp|Q15646|OASL_HUMAN,2'-5'-oligoadenylate synthase-like protein OS=Homo sapiens OX=9606 GN=OASL PE=1 SV=2,OASL,173982460.47,56799006.30,142110570.95,108835361.66,189458481.33,110428084.12
sp|Q00610|CLH1_HUMAN,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,CLTC,4505975408.85,4094897082.71,4049353751.51,207831439.62,188069414.02,191420141.05
sp|A0A0A0MT36|KVD21_HUMAN,Immunoglobulin kappa variable 6D-21 OS=Homo sapiens OX=9606 GN=IGKV6D-21 PE=3 SV=1,IGKV6D-21,11311609.61,8481161.79,8504894.87,198884856.27,187868174.33,192662100.73
sp|Q9NY65|TBA8_HUMAN,Tubulin alpha-8 chain OS=Homo sapiens OX=9606 GN=TUBA8 PE=1 SV=1,TUBA8,8985211552.95,8296104278.79,8467411499.03,191282063.67,186941004.19,203620383.78
sp|P13639|EF2_HUMAN,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,EEF2,195005505.92,184612445.61,179141103.59,163075711.08,185133036.65,396264567.01
sp|P34932|HSP74_HUMAN,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,HSPA4,371341508.83,338527892.61,326640412.59,174037187.95,184428219.79,205138561.82
sp|Q6PEY2|TBA3E_HUMAN,Tubulin alpha-3E chain OS=Homo sapiens OX=9606 GN=TUBA3E PE=1 SV=2,TUBA3E,8903418620.12,8039548851.12,8168273165.81,207139258.93,184420214.28,211707154.09
sp|P51809|VAMP7_HUMAN,Vesicle-associated membrane protein 7 OS=Homo sapiens OX=9606 GN=VAMP7 PE=1 SV=3,VAMP7,131942879.53,116863754.80,117116268.33,28062018.65,183708365.03,28105180.48
sp|P14625|ENPL_HUMAN,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,HSP90B1,4470041474.44,4071829038.18,4352055199.86,168491491.57,180816748.25,394702739.16
sp|P01599|KV117_HUMAN,Immunoglobulin kappa variable 1-17 OS=Homo sapiens OX=9606 GN=IGKV1-17 PE=1 SV=2,IGKV1-17,20630713.86,16802771.42,20721878.28,185212237.64,179943067.39,204589033.89
sp|Q9UBX1|CATF_HUMAN,Cathepsin F OS=Homo sapiens OX=9606 GN=CTSF PE=1 SV=1,CTSF,14617857.81,15040509.20,16632288.20,223061405.01,179939688.87,254859778.71
sp|P14649|MYL6B_HUMAN,Myosin light chain 6B OS=Homo sapiens OX=9606 GN=MYL6B PE=1 SV=1,MYL6B,4315117039.48,4228901659.44,4224460978.27,168364510.94,177445735.20,171838064.92
sp|P23528|COF1_HUMAN,Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3,CFL1,2925176578.32,2582388601.51,2664368360.88,178162152.17,176855148.98,188628641.38
sp|P15498|VAV_HUMAN,Proto-oncogene vav OS=Homo sapiens OX=9606 GN=VAV1 PE=1 SV=4,VAV1,128814904.63,105190007.62,106038040.88,160897842.96,173118654.24,182813061.56
sp|Q15436|SC23A_HUMAN,Protein transport protein Sec23A OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=2,SEC23A,198137165.04,198291746.83,179255629.50,230510525.98,172557958.95,295759830.71
sp|P15531|NDKA_HUMAN,Nucleoside diphosphate kinase A OS=Homo sapiens OX=9606 GN=NME1 PE=1 SV=1,NME1,477618401.80,452164821.54,510080168.25,192942360.24,172545983.46,68640181.31
sp|A0A0C4DH67|KV108_HUMAN,Immunoglobulin kappa variable 1-8 OS=Homo sapiens OX=9606 GN=IGKV1-8 PE=3 SV=1,IGKV1-8,47731934.03,43596733.76,38912646.57,216892984.97,172361953.51,225920682.97
sp|P05198|IF2A_HUMAN,Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3,EIF2S1,194969637.49,196918770.62,210288843.73,169809531.31,172099729.25,155179778.86
sp|Q96AG4|LRC59_HUMAN,Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1,LRRC59,342545915.97,304534848.80,290162571.48,13602319.74,169147610.97,10697539.67
sp|P48059|LIMS1_HUMAN,LIM and senescent cell antigen-like-containing domain protein 1 OS=Homo sapiens OX=9606 GN=LIMS1 PE=1 SV=4,LIMS1,3402796841.15,3338139701.32,3282679693.77,165747620.05,169093457.04,179115346.81
sp|P22392|NDKB_HUMAN,Nucleoside diphosphate kinase B OS=Homo sapiens OX=9606 GN=NME2 PE=1 SV=1,NME2,569848977.42,557265498.30,616267322.65,194675562.78,168860874.47,32166825.36
sp|Q709C8|VP13C_HUMAN,Intermembrane lipid transfer protein VPS13C OS=Homo sapiens OX=9606 GN=VPS13C PE=1 SV=1,VPS13C,398525388.16,259233950.46,286922359.10,91309353.39,168642066.69,513302632.26
sp|O43150|ASAP2_HUMAN,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ASAP2 PE=1 SV=3",ASAP2,182714284.63,155872890.31,162151537.23,15300690.97,168082408.04,11300711.83
sp|P00558|PGK1_HUMAN,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,PGK1,2561846552.29,2285952860.98,2324816072.12,172434382.59,166164963.34,176437569.26
sp|P06733|ENOA_HUMAN,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,ENO1,3929330957.96,3543167230.42,3486894965.72,187150380.36,165584111.46,193966033.61
sp|P07195|LDHB_HUMAN,L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2,LDHB,2720010890.08,2622124673.85,2626874589.82,208157648.03,165553069.09,215531228.61
sp|P54687|BCAT1_HUMAN,"Branched-chain-amino-acid aminotransferase, cytosolic OS=Homo sapiens OX=9606 GN=BCAT1 PE=1 SV=3",BCAT1,2813103.18,1649138.87,3656475.08,165340926.39,164160587.12,160084740.48
sp|P01701|LV151_HUMAN,Immunoglobulin lambda variable 1-51 OS=Homo sapiens OX=9606 GN=IGLV1-51 PE=1 SV=2,IGLV1-51,98403616.15,97057015.77,93885344.35,178121334.95,163566160.24,177295132.33
sp|Q9NZ32|ARP10_HUMAN,Actin-related protein 10 OS=Homo sapiens OX=9606 GN=ACTR10 PE=1 SV=1,ACTR10,35669466.68,43118858.00,39796543.63,121343284.26,162472101.25,115240159.71
sp|P30101|PDIA3_HUMAN,Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,PDIA3,4437915880.95,4192403742.73,4250210358.62,173406342.48,161123358.57,186268898.44
sp|P62937|PPIA_HUMAN,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,PPIA,1660332642.10,1603792746.95,1882574376.68,147184785.80,159973104.42,146270839.23
sp|Q9Y4E8|UBP15_HUMAN,Ubiquitin carboxyl-terminal hydrolase 15 OS=Homo sapiens OX=9606 GN=USP15 PE=1 SV=3,USP15,239614322.29,242685564.18,256041457.59,104805350.51,159706163.08,50109034.03
sp|P27105|STOM_HUMAN,Stomatin OS=Homo sapiens OX=9606 GN=STOM PE=1 SV=3,STOM,6525288911.82,5550850217.06,5749051342.82,147569717.74,156860130.90,151573036.79
sp|O00151|PDLI1_HUMAN,PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4,PDLIM1,2933145126.17,2858492064.23,2759843681.54,235874756.46,156682753.41,166769869.56
sp|O75832|PSD10_HUMAN,26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1,PSMD10,3683695.60,3066861.70,3136673.41,18782353.73,156538084.54,17634498.78
sp|Q9UK55|ZPI_HUMAN,Protein Z-dependent protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA10 PE=1 SV=1,SERPINA10,3175654166.87,3173426746.33,3044938260.97,167689212.45,156112711.25,173920896.03
sp|P35555|FBN1_HUMAN,Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4,FBN1,624210612.86,530395019.23,504923368.74,526041860.39,155139333.93,130889819.10
sp|A0A075B6S5|KV127_HUMAN,Immunoglobulin kappa variable 1-27 OS=Homo sapiens OX=9606 GN=IGKV1-27 PE=3 SV=1,IGKV1-27,46047938.64,42140783.75,37707565.88,195224812.96,154979955.90,203006792.63
sp|Q00325|MPCP_HUMAN,"Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=2",SLC25A3,1263356619.15,1112963888.70,1001581757.94,71945146.93,154966614.69,64062274.84
sp|P54652|HSP72_HUMAN,Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1,HSPA2,2713510177.80,2656293229.44,2760354067.58,154719144.62,153938539.42,119920838.05
sp|P62993|GRB2_HUMAN,Growth factor receptor-bound protein 2 OS=Homo sapiens OX=9606 GN=GRB2 PE=1 SV=1,GRB2,472004824.14,436512395.51,479734912.30,23053346.84,153465274.96,155258290.38
sp|Q7Z406|MYH14_HUMAN,Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2,MYH14,5216210307.81,4459506643.73,4444069766.55,142206417.55,153436692.74,157624843.74
sp|Q9NR12|PDLI7_HUMAN,PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1,PDLIM7,630399919.98,586044203.12,567695134.78,143669454.90,153281036.82,149166617.51
sp|Q13813|SPTN1_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",SPTAN1,172241225.26,182530517.04,184504452.35,147697455.33,152905248.61,145044474.68
sp|Q15582|BGH3_HUMAN,Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1,TGFBI,163804065.44,147333546.84,139412617.02,174294502.21,150701071.57,173046271.15
sp|Q9Y4L1|HYOU1_HUMAN,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,HYOU1,518960149.10,507387435.06,499367721.96,226397287.63,150468314.06,27779919.34
sp|P67936|TPM4_HUMAN,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,TPM4,6677090180.43,6244943288.58,6180205084.70,167227532.20,149447127.67,161929202.57
sp|Q96KN2|CNDP1_HUMAN,Beta-Ala-His dipeptidase OS=Homo sapiens OX=9606 GN=CNDP1 PE=1 SV=5,CNDP1,40603119.26,54070885.17,49652151.98,157373284.76,148789269.40,175108224.51
sp|P00338|LDHA_HUMAN,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2,LDHA,2088713611.35,1880509865.97,1917139375.94,131846448.97,148673928.03,144787916.57
sp|P06276|CHLE_HUMAN,Cholinesterase OS=Homo sapiens OX=9606 GN=BCHE PE=1 SV=1,BCHE,23264191.74,32229278.54,27224332.36,155641790.97,148567998.65,156403733.78
sp|Q9H0U4|RAB1B_HUMAN,Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1,RAB1B,4062585963.27,3794830920.40,3847227931.67,139122074.59,147924492.25,139184836.35
sp|P18054|LOX12_HUMAN,Polyunsaturated fatty acid lipoxygenase ALOX12 OS=Homo sapiens OX=9606 GN=ALOX12 PE=1 SV=4,ALOX12,1082915180.05,1041331926.66,993567594.76,61771291.11,146719951.34,60615901.31
sp|Q14644|RASA3_HUMAN,Ras GTPase-activating protein 3 OS=Homo sapiens OX=9606 GN=RASA3 PE=1 SV=3,RASA3,737869601.24,660179752.98,667349631.15,70470076.34,146176750.84,92023010.61
sp|P26022|PTX3_HUMAN,Pentraxin-related protein PTX3 OS=Homo sapiens OX=9606 GN=PTX3 PE=1 SV=3,PTX3,13730443.54,10384781.73,13318829.08,438115483.57,146045412.43,16485342.33
sp|Q9HC35|EMAL4_HUMAN,Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,EML4,31895032.49,25801085.23,23860891.11,128904745.50,144688709.03,162054151.35
sp|P0DMV8|HS71A_HUMAN / sp|P0DMV9|HS71B_HUMAN,"Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1
Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1",HSPA1A / HSPA1B,2611402370.94,2684973617.04,2611625724.95,154294896.09,143959128.80,129394014.81
sp|Q3ZCW2|LEGL_HUMAN,Galectin-related protein OS=Homo sapiens OX=9606 GN=LGALSL PE=1 SV=2,LGALSL,328354019.24,342881864.48,351659030.78,21682212.73,142952725.34,24095740.18
sp|P02549|SPTA1_HUMAN,"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5",SPTA1,87862845.58,99752428.28,100610865.30,147682903.78,142611117.18,79086769.60
sp|Q93008|USP9X_HUMAN,Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens OX=9606 GN=USP9X PE=1 SV=4,USP9X,126532504.20,132367711.96,126902142.17,138965549.82,142538004.49,136994819.71
sp|P33176|KINH_HUMAN,Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,KIF5B,288208670.16,254317818.52,263595792.88,51789118.86,142161919.00,160017145.97
sp|Q12805|FBLN3_HUMAN,EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=EFEMP1 PE=1 SV=2,EFEMP1,337282034.77,349940351.30,361485652.19,145474738.16,141996860.87,147714585.05
sp|Q03154|ACY1_HUMAN,Aminoacylase-1 OS=Homo sapiens OX=9606 GN=ACY1 PE=1 SV=1,ACY1,3855010.06,3523504.96,3921761.00,125262667.56,140376233.23,150113897.07
sp|P10768|ESTD_HUMAN,S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2,ESD,220155385.18,223824125.24,209118125.47,152185917.53,140313567.79,125337784.05
sp|P40197|GPV_HUMAN,Platelet glycoprotein V OS=Homo sapiens OX=9606 GN=GP5 PE=1 SV=1,GP5,1329537877.21,1209412244.16,1152536238.94,138216924.11,139843584.30,132706328.01
sp|A0A075B6R2|HV404_HUMAN,Immunoglobulin heavy variable 4-4 OS=Homo sapiens OX=9606 GN=IGHV4-4 PE=3 SV=2,IGHV4-4,21307769.12,18148206.62,19643731.13,162969359.15,139814935.34,171534658.84
sp|O00391|QSOX1_HUMAN,Sulfhydryl oxidase 1 OS=Homo sapiens OX=9606 GN=QSOX1 PE=1 SV=3,QSOX1,173435576.51,151282777.64,155940697.20,150187980.82,139113041.92,140352063.24
sp|Q9UHG3|PCYOX_HUMAN,Prenylcysteine oxidase 1 OS=Homo sapiens OX=9606 GN=PCYOX1 PE=1 SV=3,PCYOX1,68249872.75,73856070.12,81799483.20,141583890.40,137389129.88,147148350.63
sp|P62820|RAB1A_HUMAN,Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3,RAB1A,3729766929.06,3511367489.32,3560929944.16,128951125.59,137316598.05,130201145.05
sp|Q9HBI1|PARVB_HUMAN,Beta-parvin OS=Homo sapiens OX=9606 GN=PARVB PE=1 SV=1,PARVB,2827401357.92,2778663372.94,2841827481.02,143514780.60,135999439.00,165886642.59
sp|P27348|1433T_HUMAN,14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1,YWHAQ,3611290917.41,3458924514.96,3337692100.09,135515596.55,135967117.91,105830184.07
sp|A0A0C4DH35|HV335_HUMAN,Probable non-functional immunoglobulin heavy variable 3-35 OS=Homo sapiens OX=9606 GN=IGHV3-35 PE=1 SV=1,IGHV3-35,47754648.63,49869122.94,54235063.67,151320701.76,135820877.46,160177342.42
sp|P25788|PSA3_HUMAN,Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,PSMA3,378018555.17,348782729.09,354135312.67,14243036.72,134888597.63,22576726.49
sp|P40939|ECHA_HUMAN,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",HADHA,1014387850.79,915851413.72,872988651.37,89737510.11,133659214.40,53233948.52
sp|Q9H019|MFR1L_HUMAN,Mitochondrial fission regulator 1-like OS=Homo sapiens OX=9606 GN=MTFR1L PE=1 SV=2,MTFR1L,14332948.76,14624188.44,10799228.10,104875239.13,133067194.53,125652561.81
sp|O75116|ROCK2_HUMAN,Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4,ROCK2,1084505026.50,1005215814.56,979960846.34,430889985.15,132469191.98,117458077.41
sp|Q7Z6Z7|HUWE1_HUMAN,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3,HUWE1,207404827.56,203495619.41,200540322.52,112568152.34,131394100.65,149389729.25
sp|P19367|HXK1_HUMAN,Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3,HK1,2444637212.59,2252236793.65,2294967185.71,132738409.57,130672924.70,161024571.23
sp|Q6UVK1|CSPG4_HUMAN,Chondroitin sulfate proteoglycan 4 OS=Homo sapiens OX=9606 GN=CSPG4 PE=1 SV=2,CSPG4,89935583.96,82374145.11,75782635.17,136629122.48,130109749.48,139555779.90
sp|P61026|RAB10_HUMAN,Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1,RAB10,3350641298.90,3144991890.28,3136558645.16,117953332.01,128033449.43,115495072.02
sp|Q96H79|ZCCHL_HUMAN,Zinc finger CCCH-type antiviral protein 1-like OS=Homo sapiens OX=9606 GN=ZC3HAV1L PE=1 SV=2,ZC3HAV1L,19082006.01,16451661.14,17510988.49,7457060.08,127843148.73,4629010.63
sp|P61006|RAB8A_HUMAN,Ras-related protein Rab-8A OS=Homo sapiens OX=9606 GN=RAB8A PE=1 SV=1,RAB8A,2995794740.51,2776441496.24,2862756936.84,114694085.22,127792158.74,114913605.16
sp|Q15404|RSU1_HUMAN,Ras suppressor protein 1 OS=Homo sapiens OX=9606 GN=RSU1 PE=1 SV=3,RSU1,3420260638.06,3362945768.85,3583821921.58,135793385.57,127401660.06,138137287.94
sp|Q9UBW8|CSN7A_HUMAN,COP9 signalosome complex subunit 7a OS=Homo sapiens OX=9606 GN=COPS7A PE=1 SV=1,COPS7A,40702086.81,33098562.62,39673235.03,7276691.98,126343084.26,129184072.22
sp|P17066|HSP76_HUMAN,Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2,HSPA6,2237421497.15,2210216593.68,2282751707.55,131502779.81,125984151.59,97851029.78
sp|P07900|HS90A_HUMAN,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,HSP90AA1,3186108680.87,3066333419.18,3241585096.94,120720034.62,124208010.88,121395863.48
sp|P01593|KVD33_HUMAN / sp|P01594|KV133_HUMAN,"Immunoglobulin kappa variable 1D-33 OS=Homo sapiens OX=9606 GN=IGKV1D-33 PE=1 SV=2
Immunoglobulin kappa variable 1-33 OS=Homo sapiens OX=9606 GN=IGKV1-33 PE=1 SV=2",IGKV1D-33 / IGKV1-33,21165406.97,25532378.22,20476243.86,157144659.67,124188564.19,134550751.64
sp|Q92930|RAB8B_HUMAN,Ras-related protein Rab-8B OS=Homo sapiens OX=9606 GN=RAB8B PE=1 SV=2,RAB8B,2912071050.50,2709564635.51,2790897975.58,110966347.54,124187903.15,110998652.66
sp|Q6YHK3|CD109_HUMAN,CD109 antigen OS=Homo sapiens OX=9606 GN=CD109 PE=1 SV=2,CD109,678964701.26,633412029.92,647282868.75,162244979.97,122453286.73,89524478.76
sp|P02533|K1C14_HUMAN,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",KRT14,62554961.91,22886392.22,8041941.00,67567358.54,122270308.09,149531895.91
sp|O00429|DNM1L_HUMAN,Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2,DNM1L,1118998564.46,1058876047.41,1034430036.00,136041642.86,120937828.30,186842504.51
sp|Q01518|CAP1_HUMAN,Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5,CAP1,3798790876.87,3647239487.89,3672726743.84,126545613.99,120645064.80,125772350.06
sp|Q99460|PSMD1_HUMAN,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2,PSMD1,113475658.06,104706720.36,97961109.13,130020627.97,120598657.03,128137991.21
sp|Q9H299|SH3L3_HUMAN,SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens OX=9606 GN=SH3BGRL3 PE=1 SV=1,SH3BGRL3,1369633293.53,1258698925.31,1233640983.89,127431437.68,120346907.08,136417614.60
sp|P34931|HS71L_HUMAN,Heat shock 70 kDa protein 1-like OS=Homo sapiens OX=9606 GN=HSPA1L PE=1 SV=2,HSPA1L,1984619768.56,1964996500.50,2018281884.65,122872774.10,120245489.00,90344389.59
sp|Q92928|RAB1C_HUMAN,Putative Ras-related protein Rab-1C OS=Homo sapiens OX=9606 GN=RAB1C PE=5 SV=2,RAB1C,3290240967.37,3089829026.06,3104971152.10,112383190.51,120044019.64,106998396.91
sp|Q15286|RAB35_HUMAN,Ras-related protein Rab-35 OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1,RAB35,2482310029.19,2306516386.37,2365302455.06,102451068.80,119889781.75,96059144.85
sp|P43251|BTD_HUMAN,Biotinidase OS=Homo sapiens OX=9606 GN=BTD PE=1 SV=2,BTD,47047485.72,46810104.73,47327786.58,121650459.00,119813359.78,128693338.97
sp|Q93084|AT2A3_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3 PE=1 SV=3,ATP2A3,4511634995.26,4196962434.53,4163494703.47,130073510.96,118392066.79,125661847.44
sp|Q01082|SPTB2_HUMAN,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",SPTBN1,960617012.79,895773558.32,914674617.66,120585460.38,118323919.33,111269860.36
sp|Q6P996|PDXD1_HUMAN,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PDXDC1 PE=1 SV=2,PDXDC1,13460346.41,13814847.83,12388199.15,125735210.89,118218855.96,49448744.81
sp|P61981|1433G_HUMAN,14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2,YWHAG,4227693215.16,3932356028.54,3807364415.30,110223880.68,115851091.68,123125899.48
sp|P98160|PGBM_HUMAN,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4,HSPG2,96476438.03,98094854.57,88346058.29,109868383.48,115786680.36,129176609.78
sp|P49327|FAS_HUMAN,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,FASN,611809997.60,581710086.48,565923398.40,131285530.00,115086132.84,312874944.55
sp|P27361|MK03_HUMAN,Mitogen-activated protein kinase 3 OS=Homo sapiens OX=9606 GN=MAPK3 PE=1 SV=4,MAPK3,45832303.09,39470984.28,40631612.22,93849813.64,114348765.37,102789159.12
sp|O43747|AP1G1_HUMAN,AP-1 complex subunit gamma-1 OS=Homo sapiens OX=9606 GN=AP1G1 PE=1 SV=5,AP1G1,210107070.84,280588494.89,228842270.82,112765686.43,113738107.38,45101691.18
sp|Q9UBF2|COPG2_HUMAN,Coatomer subunit gamma-2 OS=Homo sapiens OX=9606 GN=COPG2 PE=1 SV=1,COPG2,179068070.00,163437648.21,155931092.30,115795940.82,113585464.92,89680177.91
sp|Q8TBQ9|KISHA_HUMAN,Protein kish-A OS=Homo sapiens OX=9606 GN=TMEM167A PE=1 SV=1,TMEM167A,11115351.02,9407993.31,8639921.63,2090613.08,112959220.22,2896239.62
sp|O00408|PDE2A_HUMAN,"cGMP-dependent 3',5'-cyclic phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE2A PE=1 SV=1",PDE2A,5286729.49,4617216.19,5034667.26,152133585.61,111996967.46,36523598.57
sp|P23229|ITA6_HUMAN,Integrin alpha-6 OS=Homo sapiens OX=9606 GN=ITGA6 PE=1 SV=5,ITGA6,2364457384.06,2176385666.22,2126656092.38,197058625.12,111543678.79,183262445.81
sp|A0A0C4DH34|HV428_HUMAN,Immunoglobulin heavy variable 4-28 OS=Homo sapiens OX=9606 GN=IGHV4-28 PE=3 SV=1,IGHV4-28,13796971.58,7867227.80,8340683.76,145495727.55,111143663.51,163861450.71
sp|Q8NFV4|ABHDB_HUMAN,Protein ABHD11 OS=Homo sapiens OX=9606 GN=ABHD11 PE=1 SV=1,ABHD11,172182894.57,167913880.91,160156558.02,69635176.91,110626279.31,48393884.20
sp|P55072|TERA_HUMAN,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,VCP,3488074395.95,3256428256.19,3190082437.14,94004490.39,109360325.63,112689883.28
sp|P51153|RAB13_HUMAN,Ras-related protein Rab-13 OS=Homo sapiens OX=9606 GN=RAB13 PE=1 SV=1,RAB13,1626658188.20,1515504313.63,1512639583.63,118295171.29,108489047.78,117061422.11
sp|P05556|ITB1_HUMAN,Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,ITGB1,3485195513.94,3190428978.13,3196284883.48,98941156.80,108129151.78,103855403.96
sp|P28482|MK01_HUMAN,Mitogen-activated protein kinase 1 OS=Homo sapiens OX=9606 GN=MAPK1 PE=1 SV=3,MAPK1,153371537.09,144308087.31,141963088.98,100938637.84,108001089.72,107241450.65
sp|Q9NZN3|EHD3_HUMAN,EH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=EHD3 PE=1 SV=2,EHD3,1571334692.57,1493704316.86,1554882075.36,86931749.51,107922773.99,84595772.22
sp|P00746|CFAD_HUMAN,Complement factor D OS=Homo sapiens OX=9606 GN=CFD PE=1 SV=5,CFD,20441921.68,22031545.19,18423569.66,100068687.58,107407371.72,110373648.41
