From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
STAM,Q92783,reviewed,STAM1_HUMAN,Signal transducing adapter molecule 1 (STAM-1),STAM STAM1,Homo sapiens (Human),540
SYNCRIP,O60506,reviewed,HNRPQ_HUMAN,"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)",SYNCRIP HNRPQ NSAP1,Homo sapiens (Human),623
TMPRSS2,O15393,reviewed,TMPS2_HUMAN,Transmembrane protease serine 2 (EC 3.4.21.122) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain],TMPRSS2 PRSS10,Homo sapiens (Human),492
TPM1,P09493,reviewed,TPM1_HUMAN,Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1),TPM1 C15orf13 TMSA,Homo sapiens (Human),284
TSPAN15,O95858,reviewed,TSN15_HUMAN,Tetraspanin-15 (Tspan-15) (Tetraspan NET-7) (Transmembrane 4 superfamily member 15),TSPAN15 NET7 TM4SF15 UNQ677/PRO1311,Homo sapiens (Human),294
TSPAN4,O14817,reviewed,TSN4_HUMAN,Tetraspanin-4 (Tspan-4) (Novel antigen 2) (NAG-2) (Transmembrane 4 superfamily member 7),TSPAN4 NAG2 TM4SF7,Homo sapiens (Human),238
UBA52,P62987,reviewed,RL40_HUMAN,Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40)],UBA52 UBCEP2,Homo sapiens (Human),128
UGDH,O60701,reviewed,UGDH_HUMAN,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),UGDH,Homo sapiens (Human),494
VAMP8,Q9BV40,reviewed,VAMP8_HUMAN,Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (EDB),VAMP8,Homo sapiens (Human),100
VPS37C,A5D8V6,reviewed,VP37C_HUMAN,Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C),VPS37C PML39,Homo sapiens (Human),355
ABCB6,Q9NP58,reviewed,ABCB6_HUMAN,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter),ABCB6 MTABC3 PRP UMAT,Homo sapiens (Human),842
ACAT2,O75908,reviewed,SOAT2_HUMAN,Sterol O-acyltransferase 2 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 2) (ACAT-2) (Cholesterol acyltransferase 2),SOAT2 ACACT2 ACAT2,Homo sapiens (Human),522
ACAT2,Q9BWD1,reviewed,THIC_HUMAN,"Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)",ACAT2 ACTL,Homo sapiens (Human),397
AKR7A2,O43488,reviewed,ARK72_HUMAN,Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase),AKR7A2 AFAR AFAR1 AKR7,Homo sapiens (Human),359
ANKFY1,Q9P2R3,reviewed,ANFY1_HUMAN,Rabankyrin-5 (Rank-5) (Ankyrin repeat and FYVE domain-containing protein 1) (Ankyrin repeats hooked to a zinc finger motif),ANKFY1 ANKHZN KIAA1255,Homo sapiens (Human),1169
AP2M1,Q96CW1,reviewed,AP2M1_HUMAN,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),AP2M1 CLAPM1 KIAA0109,Homo sapiens (Human),435
ARHGDIB,P52566,reviewed,GDIR2_HUMAN,Rho GDP-dissociation inhibitor 2 (Rho GDI 2) (Ly-GDI) (Rho-GDI beta),ARHGDIB GDIA2 GDID4 RAP1GN1,Homo sapiens (Human),201
ARL8A,Q96BM9,reviewed,ARL8A_HUMAN,ADP-ribosylation factor-like protein 8A (ADP-ribosylation factor-like protein 10B) (Novel small G protein indispensable for equal chromosome segregation 2),ARL8A ARL10B GIE2,Homo sapiens (Human),186
ASAH1,Q13510,reviewed,ASAH1_HUMAN,Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (Glycosylceramide deacylase) (EC 3.5.1.109) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) (Putative 32 kDa heart protein) (PHP32) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta],ASAH1 ASAH HSD-33 HSD33,Homo sapiens (Human),395
ATP6V0A1,Q93050,reviewed,VPP1_HUMAN,V-type proton ATPase 116 kDa subunit a 1 (V-ATPase 116 kDa subunit a 1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar adenosine triphosphatase subunit Ac116) (Vacuolar proton pump subunit 1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1),ATP6V0A1 ATP6N1 ATP6N1A VPP1,Homo sapiens (Human),837
ATP6V1B2,P21281,reviewed,VATB2_HUMAN,"V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)",ATP6V1B2 ATP6B2 VPP3,Homo sapiens (Human),511
BAIAP2L1,Q9UHR4,reviewed,BI2L1_HUMAN,BAR/IMD domain-containing adapter protein 2-like 1 (Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1) (BAI1-associated protein 2-like protein 1) (Insulin receptor tyrosine kinase substrate),BAIAP2L1 IRTKS,Homo sapiens (Human),511
CACYBP,Q9HB71,reviewed,CYBP_HUMAN,Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein),CACYBP S100A6BP SIP PNAS-107,Homo sapiens (Human),228
CAPN7,Q9Y6W3,reviewed,CAN7_HUMAN,Calpain-7 (EC 3.4.22.-) (PalB homolog) (PalBH),CAPN7 PALBH,Homo sapiens (Human),813
CC2D1A,Q6P1N0,reviewed,C2D1A_HUMAN,Coiled-coil and C2 domain-containing protein 1A (Akt kinase-interacting protein 1) (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1) (Putative NF-kappa-B-activating protein 023N),CC2D1A AKI1 LGD2,Homo sapiens (Human),951
CDH1,P12830,reviewed,CADH1_HUMAN,Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3],CDH1 CDHE UVO,Homo sapiens (Human),882
CDH1,Q9UM11,reviewed,FZR1_HUMAN,Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1),FZR1 CDH1 FYR FZR KIAA1242,Homo sapiens (Human),496
CLTA,P09496,reviewed,CLCA_HUMAN,Clathrin light chain A (Lca),CLTA,Homo sapiens (Human),248
CPNE8,Q86YQ8,reviewed,CPNE8_HUMAN,Copine-8 (Copine VIII),CPNE8,Homo sapiens (Human),564
CXADR,P78310,reviewed,CXAR_HUMAN,Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR),CXADR CAR,Homo sapiens (Human),365
CYFIP2,Q96F07,reviewed,CYFP2_HUMAN,Cytoplasmic FMR1-interacting protein 2 (p53-inducible protein 121),CYFIP2 KIAA1168 PIR121,Homo sapiens (Human),1278
DDX39B,Q13838,reviewed,DX39B_HUMAN,Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein),DDX39B BAT1 UAP56,Homo sapiens (Human),428
DERA,Q9Y315,reviewed,DEOC_HUMAN,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),DERA CGI-26,Homo sapiens (Human),318
DNAJB1,P25685,reviewed,DNJB1_HUMAN,DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1),DNAJB1 DNAJ1 HDJ1 HSPF1,Homo sapiens (Human),340
EFNB1,P98172,reviewed,EFNB1_HUMAN,Ephrin-B1 (EFL-3) (ELK ligand) (ELK-L) (EPH-related receptor tyrosine kinase ligand 2) (LERK-2) [Cleaved into: Ephrin-B1 C-terminal fragment (Ephrin-B1 CTF); Ephrin-B1 intracellular domain (Ephrin-B1 ICD)],EFNB1 EFL3 EPLG2 LERK2,Homo sapiens (Human),346
EFR3A,Q14156,reviewed,EFR3A_HUMAN,Protein EFR3 homolog A (Protein EFR3-like),EFR3A KIAA0143,Homo sapiens (Human),821
EGF,P01133,reviewed,EGF_HUMAN,Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)],EGF,Homo sapiens (Human),1207
EIF4A3,P38919,reviewed,IF4A3_HUMAN,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",EIF4A3 DDX48 KIAA0111,Homo sapiens (Human),411
EPS8L1,Q8TE68,reviewed,ES8L1_HUMAN,Epidermal growth factor receptor kinase substrate 8-like protein 1 (EPS8-like protein 1) (Epidermal growth factor receptor pathway substrate 8-related protein 1) (EPS8-related protein 1),EPS8L1 DRC3 EPS8R1 PP10566,Homo sapiens (Human),723
ERBB2IP,Q96RT1,reviewed,ERBIN_HUMAN,Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2),ERBIN ERBB2IP KIAA1225 LAP2,Homo sapiens (Human),1412
ERP44,Q9BS26,reviewed,ERP44_HUMAN,Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4),ERP44 KIAA0573 TXNDC4 UNQ532/PRO1075,Homo sapiens (Human),406
ESYT1,Q9BSJ8,reviewed,ESYT1_HUMAN,Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein),ESYT1 FAM62A KIAA0747 MBC2,Homo sapiens (Human),1104
FGG,P02679,reviewed,FIBG_HUMAN,Fibrinogen gamma chain,FGG PRO2061,Homo sapiens (Human),453
FKBP4,Q02790,reviewed,FKBP4_HUMAN,"Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]",FKBP4 FKBP52,Homo sapiens (Human),459
GGCT,O75223,reviewed,GGCT_HUMAN,Gamma-glutamylcyclotransferase (EC 4.3.2.9) (Cytochrome c-releasing factor 21),GGCT C7orf24 CRF21,Homo sapiens (Human),188
GSR,P00390,reviewed,GSHR_HUMAN,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",GSR GLUR GRD1,Homo sapiens (Human),522
H2AFX,P16104,reviewed,H2AX_HUMAN,Histone H2AX (H2a/x) (Histone H2A.X),H2AX H2AFX,Homo sapiens (Human),143
HIST1H3A,P68431,reviewed,H31_HUMAN,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,Homo sapiens (Human),136
HIST1H3B,P68431,reviewed,H31_HUMAN,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,Homo sapiens (Human),136
HIST1H3D,P68431,reviewed,H31_HUMAN,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,Homo sapiens (Human),136
HIST1H3E,P68431,reviewed,H31_HUMAN,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,Homo sapiens (Human),136
HIST1H3F,P68431,reviewed,H31_HUMAN,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,Homo sapiens (Human),136
HIST1H3G,P68431,reviewed,H31_HUMAN,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,Homo sapiens (Human),136
HIST1H3J,P68431,reviewed,H31_HUMAN,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,Homo sapiens (Human),136
IDH1,O75874,reviewed,IDHC_HUMAN,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),IDH1 PICD,Homo sapiens (Human),414
KNG1,P01042,reviewed,KNG1_HUMAN,Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor],KNG1 BDK KNG,Homo sapiens (Human),644
KPNA2,P52292,reviewed,IMA1_HUMAN,Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha),KPNA2 RCH1 SRP1,Homo sapiens (Human),529
KRT15,P19012,reviewed,K1C15_HUMAN,"Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)",KRT15 KRTB,Homo sapiens (Human),456
KRT7,P08729,reviewed,K2C7_HUMAN,"Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)",KRT7 SCL,Homo sapiens (Human),469
MARS,P56192,reviewed,SYMC_HUMAN,"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)",MARS1 MARS,Homo sapiens (Human),900
MVB12B,Q9H7P6,reviewed,MB12B_HUMAN,Multivesicular body subunit 12B (ESCRT-I complex subunit MVB12B) (Protein FAM125B),MVB12B C9orf28 FAM125B,Homo sapiens (Human),319
NAPG,Q99747,reviewed,SNAG_HUMAN,Gamma-soluble NSF attachment protein (SNAP-gamma) (N-ethylmaleimide-sensitive factor attachment protein gamma),NAPG SNAPG,Homo sapiens (Human),312
NCKAP1,Q9Y2A7,reviewed,NCKP1_HUMAN,Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1),NCKAP1 HEM2 KIAA0587 NAP1,Homo sapiens (Human),1128
NRP1,O14786,reviewed,NRP1_HUMAN,Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304),NRP1 NRP VEGF165R,Homo sapiens (Human),923
NRP1,Q92832,reviewed,NELL1_HUMAN,Protein kinase C-binding protein NELL1 (NEL-like protein 1) (Nel-related protein 1),NELL1 NRP1,Homo sapiens (Human),810
PAFAH1B1,P43034,reviewed,LIS1_HUMAN,Platelet-activating factor acetylhydrolase IB subunit beta (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha),PAFAH1B1 LIS1 MDCR MDS PAFAHA,Homo sapiens (Human),410
PEPD,P12955,reviewed,PEPD_HUMAN,Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase),PEPD PRD,Homo sapiens (Human),493
PGM1,P36871,reviewed,PGM1_HUMAN,Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1),PGM1,Homo sapiens (Human),562
PI4KA,P42356,reviewed,PI4KA_HUMAN,Phosphatidylinositol 4-kinase alpha (PI4-kinase alpha) (PI4K-alpha) (PtdIns-4-kinase alpha) (EC 2.7.1.67) (Phosphatidylinositol 4-Kinase III alpha),PI4KA PIK4 PIK4CA,Homo sapiens (Human),2102
PLSCR3,Q9NRY6,reviewed,PLS3_HUMAN,Phospholipid scramblase 3 (PL scramblase 3) (Ca(2+)-dependent phospholipid scramblase 3),PLSCR3,Homo sapiens (Human),295
PNP,P00491,reviewed,PNPH_HUMAN,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase),PNP NP,Homo sapiens (Human),289
PNP,P01298,reviewed,PAHO_HUMAN,Pancreatic polypeptide prohormone (PH) (Pancreatic polypeptide Y) (Obinepitide) [Cleaved into: Pancreatic polypeptide (HPP) (PP); Pancreatic icosapeptide (PI)],PPY PNP,Homo sapiens (Human),95
POTEF,A5A3E0,reviewed,POTEF_HUMAN,POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein),POTEF A26C1B,Homo sapiens (Human),1075
PSAT1,Q9Y617,reviewed,SERC_HUMAN,Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT),PSAT1 PSA,Homo sapiens (Human),370
PSMD3,O43242,reviewed,PSMD3_HUMAN,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),PSMD3,Homo sapiens (Human),534
PTK7,Q13308,reviewed,PTK7_HUMAN,Inactive tyrosine-protein kinase 7 (Colon carcinoma kinase 4) (CCK-4) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7),PTK7 CCK4,Homo sapiens (Human),1070
PZP,P20742,reviewed,PZP_HUMAN,Pregnancy zone protein (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 6),PZP CPAMD6,Homo sapiens (Human),1482
RAB32,Q13637,reviewed,RAB32_HUMAN,Ras-related protein Rab-32,RAB32,Homo sapiens (Human),225
RAB37,Q96AX2,reviewed,RAB37_HUMAN,Ras-related protein Rab-37,RAB37,Homo sapiens (Human),223
RAB3B,P20337,reviewed,RAB3B_HUMAN,Ras-related protein Rab-3B,RAB3B,Homo sapiens (Human),219
RAB3D,O95716,reviewed,RAB3D_HUMAN,Ras-related protein Rab-3D,RAB3D GOV RAB16,Homo sapiens (Human),219
RAB4A,P20338,reviewed,RAB4A_HUMAN,Ras-related protein Rab-4A (EC 3.6.5.2),RAB4A RAB4,Homo sapiens (Human),218
RAP2A,P10114,reviewed,RAP2A_HUMAN,Ras-related protein Rap-2a (EC 3.6.5.2) (RbBP-30),RAP2A,Homo sapiens (Human),183
RBBP7,Q16576,reviewed,RBBP7_HUMAN,Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46),RBBP7 RBAP46,Homo sapiens (Human),425
RNH1,O60930,reviewed,RNH1_HUMAN,Ribonuclease H1 (RNase H1) (EC 3.1.26.4) (Ribonuclease H type II),RNASEH1 RNH1,Homo sapiens (Human),286
RNH1,P13489,reviewed,RINI_HUMAN,Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI),RNH1 PRI RNH,Homo sapiens (Human),461
ROCK2,O75116,reviewed,ROCK2_HUMAN,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)",ROCK2 KIAA0619,Homo sapiens (Human),1388
RPL21,P46778,reviewed,RL21_HUMAN,Large ribosomal subunit protein eL21 (60S ribosomal protein L21),RPL21,Homo sapiens (Human),160
RPL31,P62899,reviewed,RL31_HUMAN,Large ribosomal subunit protein eL31 (60S ribosomal protein L31),RPL31,Homo sapiens (Human),125
RPL7A,P62424,reviewed,RL7A_HUMAN,Large ribosomal subunit protein eL8 (60S ribosomal protein L7a) (PLA-X polypeptide) (Surfeit locus protein 3),RPL7A SURF-3 SURF3,Homo sapiens (Human),266
RPN1,P04843,reviewed,RPN1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1),RPN1,Homo sapiens (Human),607
RPS27,P42677,reviewed,RS27_HUMAN,Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1) (MPS-1),RPS27 MPS1,Homo sapiens (Human),84
RPS6,P62753,reviewed,RS6_HUMAN,Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33),RPS6 OK/SW-cl.2,Homo sapiens (Human),249
S100A11,P31949,reviewed,S10AB_HUMAN,"Protein S100-A11 (Calgizzarin) (Metastatic lymph node gene 70 protein) (MLN 70) (Protein S100-C) (S100 calcium-binding protein A11) [Cleaved into: Protein S100-A11, N-terminally processed]",S100A11 MLN70 S100C,Homo sapiens (Human),105
S100A9,P06702,reviewed,S10A9_HUMAN,Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9),S100A9 CAGB CFAG MRP14,Homo sapiens (Human),114
SERPINA3,P01011,reviewed,AACT_HUMAN,Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less],SERPINA3 AACT GIG24 GIG25,Homo sapiens (Human),423
SERPING1,P05155,reviewed,IC1_HUMAN,Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1),SERPING1 C1IN C1NH,Homo sapiens (Human),500
SH3BP4,Q9P0V3,reviewed,SH3B4_HUMAN,SH3 domain-binding protein 4 (EH-binding protein 10) (Transferrin receptor-trafficking protein),SH3BP4 BOG25 EHB10 TTP,Homo sapiens (Human),963
SLC5A6,Q9Y289,reviewed,SC5A6_HUMAN,Sodium-dependent multivitamin transporter (Na(+)-dependent multivitamin transporter) (hSMVT) (Solute carrier family 5 member 6),SLC5A6 SMVT,Homo sapiens (Human),635
SNTB2,Q13425,reviewed,SNTB2_HUMAN,Beta-2-syntrophin (59 kDa dystrophin-associated protein A1 basic component 2) (Syntrophin-3) (SNT3) (Syntrophin-like) (SNTL),SNTB2 D16S2531E SNT2B2 SNTL,Homo sapiens (Human),540
STAT1,P42224,reviewed,STAT1_HUMAN,Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84),STAT1,Homo sapiens (Human),750
STX3,Q13277,reviewed,STX3_HUMAN,Syntaxin-3,STX3 STX3A,Homo sapiens (Human),289
STXBP2,Q15833,reviewed,STXB2_HUMAN,Syntaxin-binding protein 2 (Protein unc-18 homolog 2) (Unc18-2) (Protein unc-18 homolog B) (Unc-18B),STXBP2 UNC18B,Homo sapiens (Human),593
THY1,P04216,reviewed,THY1_HUMAN,Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90),THY1,Homo sapiens (Human),161
