Protein,Protein Description,Protein Gene,AD01_121315_D5_42 Sum Normalized Area,AD02_121676_D8_64 Sum Normalized Area,AD03_131182_E5_19 Sum Normalized Area,AD04_131136_E6_04 Sum Normalized Area,AD05_131127_E7_61 Sum Normalized Area,AD06_131086_D4_29 Sum Normalized Area,AD07_121663_D7_39 Sum Normalized Area,AD08_131027_E2_13 Sum Normalized Area,AD09_131040_E4_54 Sum Normalized Area,AD10_131282_E8_17 Sum Normalized Area,BatchQC_CP01_21 Sum Normalized Area,BatchQC_CP02_63 Sum Normalized Area,BatchQC_CP03_45 Sum Normalized Area,BatchQC_CP04_10 Sum Normalized Area,BatchRef_KP01_56 Sum Normalized Area,BatchRef_KP02_47 Sum Normalized Area,BatchRef_KP03_25 Sum Normalized Area,BatchRef_KP04_07 Sum Normalized Area,HC01_141076_A7_24 Sum Normalized Area,HC02_141337_C3_53 Sum Normalized Area,HC03_121255_D2_08 Sum Normalized Area,HC04_121321_D6_50 Sum Normalized Area,HC05_131028_E3_18 Sum Normalized Area,HC06_141346_A5_11 Sum Normalized Area,HC07_141210_C7_43 Sum Normalized Area,HC08_141198_C8_14 Sum Normalized Area,HC09_111402_D3_41 Sum Normalized Area,HC10_131248_F2_52 Sum Normalized Area,PDD01_141132_A8_46 Sum Normalized Area,PDD02_141202_B3_28 Sum Normalized Area,PDD03_815_F7_03 Sum Normalized Area,PDD04_1089_F8_60 Sum Normalized Area,PDD05_141365_A4_49 Sum Normalized Area,PDD06_131379_B5_59 Sum Normalized Area,PDD07_131387_B6_27 Sum Normalized Area,PDD08_141335_C2_38 Sum Normalized Area,PDD09_121343_C5_06 Sum Normalized Area,PDD10_PST18-0089_F6_20 Sum Normalized Area,PD-noMCI01_141226_B4_48 Sum Normalized Area,PD-noMCI02_141374_B8_40 Sum Normalized Area,PD-noMCI03_131326_C4_15 Sum Normalized Area,PD-noMCI04_141312_C6_55 Sum Normalized Area,PD-noMCI05_141366_F3_57 Sum Normalized Area,PD-noMCI06_131175_A2_12 Sum Normalized Area,PD-noMCI07_131201_A3_22 Sum Normalized Area,PD-noMCI08_141097_A6_26 Sum Normalized Area,PD-noMCI09_141127_B2_62 Sum Normalized Area,PD-noMCI10_131355_B7_05 Sum Normalized Area
sp|P49720|PSB3_HUMAN,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,PSMB3,1.7363E+8,2.1791E+8,5.1544E+7,1.4047E+8,9.2304E+7,2.8524E+8,1.4730E+8,1.1977E+9,2.7334E+8,1.4624E+8,1.2128E+8,1.5461E+8,1.2227E+8,1.3034E+8,1.0097E+8,8.1210E+7,6.0055E+7,7.8493E+7,1.2893E+8,4.0184E+7,1.9638E+8,2.6573E+8,8.8177E+7,6.6965E+7,7.4210E+7,6.2860E+7,3.7554E+8,2.3640E+8,7.7105E+7,7.4147E+7,4.9684E+7,2.7972E+7,9.9797E+7,6.3135E+7,3.1801E+8,4.0213E+7,9.0551E+7,2.5063E+8,5.5323E+7,7.6921E+7,4.5543E+7,3.9488E+7,1.0511E+8,1.7669E+8,1.0193E+8,2.9000E+7,5.6536E+7,5.7166E+7
sp|P53007|TXTP_HUMAN,"Tricarboxylate transport protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A1 PE=1 SV=2",SLC25A1,8.7562E+6,8.3444E+6,6.9272E+6,5.5904E+6,2.6322E+7,1.4945E+7,6.2495E+6,1.6505E+7,2.3375E+7,5.8082E+6,8.0563E+6,9.1870E+6,8.1607E+6,7.1949E+6,8.2080E+6,7.1010E+6,5.6286E+6,6.1004E+6,6.8700E+6,6.4437E+6,5.3384E+6,4.9086E+6,6.4057E+6,6.5508E+6,7.4422E+6,5.0849E+6,9.0635E+6,5.3536E+6,7.4804E+6,6.2695E+6,4.9184E+6,6.1417E+6,8.6886E+6,6.9178E+6,8.9843E+6,4.8321E+6,6.2973E+6,9.1433E+6,6.0848E+6,8.8852E+6,7.5108E+6,9.1592E+6,7.6927E+6,4.7565E+6,6.4570E+6,6.8688E+6,7.5087E+6,6.7486E+6
sp|Q15084|PDIA6_HUMAN,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,PDIA6,1.1577E+8,1.0087E+8,1.2078E+8,1.1216E+8,1.1211E+8,8.8010E+7,1.0850E+8,9.0551E+7,1.3900E+8,9.7869E+7,1.3448E+8,1.3951E+8,1.2814E+8,1.1651E+8,1.1457E+8,1.1726E+8,1.1298E+8,1.1563E+8,9.7240E+7,1.5176E+8,1.0340E+8,1.0863E+8,9.6818E+7,1.1881E+8,1.4646E+8,1.1917E+8,8.1090E+7,9.3860E+7,1.0547E+8,1.0116E+8,1.2136E+8,1.2523E+8,1.2643E+8,9.5303E+7,1.1363E+8,1.2356E+8,1.2303E+8,9.0110E+7,1.2879E+8,1.0119E+8,1.1018E+8,1.2815E+8,1.1875E+8,1.0422E+8,1.1351E+8,1.3422E+8,1.5720E+8,1.3221E+8
sp|Q8N128|F177A_HUMAN,Protein FAM177A1 OS=Homo sapiens OX=9606 GN=FAM177A1 PE=1 SV=1,FAM177A1,7.2657E+6,1.2175E+7,4.1309E+6,5.5919E+6,9.3854E+6,3.2079E+7,6.4536E+6,6.5161E+7,2.0370E+7,1.5741E+7,1.1416E+7,8.7629E+6,1.0285E+7,9.1191E+6,5.4353E+6,5.8158E+6,4.7209E+6,4.1906E+6,7.9000E+6,3.7186E+6,1.2778E+7,2.0277E+7,1.3116E+7,3.1223E+6,3.4303E+6,3.9541E+6,1.8375E+7,9.8767E+6,4.6193E+6,6.9229E+6,5.0915E+6,2.4273E+6,6.1361E+6,3.8416E+6,7.3741E+6,3.6543E+6,5.0707E+6,1.6328E+7,2.7283E+6,5.7314E+6,3.9623E+6,4.6415E+6,4.6147E+6,6.4712E+6,5.5269E+6,2.2231E+6,2.2835E+6,4.2613E+6
sp|Q8WUX1|S38A5_HUMAN,Sodium-coupled neutral amino acid transporter 5 OS=Homo sapiens OX=9606 GN=SLC38A5 PE=1 SV=1,SLC38A5,2.8576E+8,4.2413E+6,1.7973E+6,2.2039E+6,3.6053E+6,6.1168E+6,1.8944E+5,1.8380E+7,1.5761E+7,3.2581E+6,2.9993E+6,3.9626E+6,3.6705E+6,5.0781E+6,4.4741E+6,3.7623E+6,4.3807E+6,4.3863E+6,1.3249E+6,1.8809E+6,4.2713E+6,6.0628E+6,1.1337E+6,5.9450E+5,4.4500E+5,6.0215E+5,8.6455E+5,5.9732E+6,8.0202E+5,6.6141E+5,6.7469E+5,3.1629E+5,1.9953E+6,4.7965E+5,2.1916E+6,6.7817E+5,1.1709E+6,3.5807E+6,1.3707E+6,1.3400E+6,1.4868E+6,6.0129E+5,3.3624E+5,8.5328E+5,1.2398E+6,5.3791E+5,6.3345E+5,8.0035E+5
sp|Q96F07|CYFP2_HUMAN,Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2,CYFIP2,6.3568E+7,4.8156E+7,5.3950E+7,6.4571E+7,6.1851E+7,7.0389E+7,6.0232E+7,7.8147E+7,1.2005E+8,6.2758E+7,8.0124E+7,8.3389E+7,7.5163E+7,8.3937E+7,6.3578E+7,6.1532E+7,6.3451E+7,6.2276E+7,5.2219E+7,6.4975E+7,6.2768E+7,7.3195E+7,6.3356E+7,7.3857E+7,5.2188E+7,6.9126E+7,1.0666E+8,5.4801E+7,6.1629E+7,6.1657E+7,7.3201E+7,5.8655E+7,6.8318E+7,6.4007E+7,6.6740E+7,6.1972E+7,7.5376E+7,7.0713E+7,7.7210E+7,5.8430E+7,7.4289E+7,6.7064E+7,7.1046E+7,7.0655E+7,5.9523E+7,6.1223E+7,6.7436E+7,6.4803E+7
sp|Q9NR46|SHLB2_HUMAN,Endophilin-B2 OS=Homo sapiens OX=9606 GN=SH3GLB2 PE=1 SV=1,SH3GLB2,1.0611E+7,5.9210E+8,5.1038E+6,3.5964E+6,4.7018E+6,1.1824E+9,5.0264E+6,2.3791E+9,1.5983E+7,6.3070E+6,4.6844E+8,1.1498E+8,3.7374E+8,3.7549E+6,1.7786E+8,3.9779E+6,4.4395E+6,6.8429E+7,5.4545E+8,3.6634E+6,2.2202E+7,1.2913E+7,4.1281E+8,3.9057E+6,8.1805E+7,1.2646E+8,1.1419E+9,6.2823E+6,2.9610E+6,1.6698E+8,4.3619E+6,3.9845E+6,2.1235E+8,3.7784E+6,3.3423E+8,3.9207E+6,3.0098E+8,1.0654E+9,1.1655E+8,1.1653E+8,1.5972E+8,3.9542E+6,1.5255E+8,4.1094E+8,2.4653E+8,3.8338E+6,5.8700E+6,1.4656E+8
sp|O75955|FLOT1_HUMAN,Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,FLOT1,4.2605E+7,4.4660E+7,4.6975E+7,4.5463E+7,1.4385E+8,6.8584E+7,6.8576E+7,1.3504E+8,9.0711E+7,4.9368E+7,4.8673E+7,4.1314E+7,5.8566E+7,4.4123E+7,3.4492E+7,3.8928E+7,5.6806E+7,3.7814E+7,6.2913E+7,3.9090E+7,5.3563E+7,4.7126E+7,3.8220E+7,3.9415E+7,4.7654E+7,3.1345E+7,6.2926E+7,5.5028E+7,3.5325E+7,3.8228E+7,4.2978E+7,3.1869E+7,4.2030E+7,3.9592E+7,4.0828E+7,3.9093E+7,3.9127E+7,8.2892E+7,3.9628E+7,3.2922E+7,3.4313E+7,3.9263E+7,3.9494E+7,3.7276E+7,3.4377E+7,3.7539E+7,4.2271E+7,4.0743E+7
sp|O95772|STR3N_HUMAN,STARD3 N-terminal-like protein OS=Homo sapiens OX=9606 GN=STARD3NL PE=1 SV=1,STARD3NL,1.4001E+6,2.5370E+6,1.5481E+6,1.3255E+6,2.9754E+6,9.4358E+6,7.6293E+5,1.2275E+7,9.1598E+6,4.4737E+6,1.9543E+6,2.7704E+6,3.8064E+6,1.5587E+6,1.7753E+6,1.1305E+6,8.8640E+5,5.0661E+5,1.2418E+6,1.1838E+6,1.2059E+6,3.3848E+6,1.4674E+6,4.6516E+5,5.3081E+5,6.3979E+5,7.3082E+6,2.0455E+6,1.5374E+6,6.9164E+5,5.7962E+5,7.9615E+5,7.5584E+5,1.0835E+6,7.0388E+5,6.7898E+5,2.2413E+6,3.3050E+6,3.8539E+5,1.6663E+6,9.9920E+5,8.7589E+5,1.6254E+6,1.0390E+6,1.0618E+6,2.7140E+5,5.1817E+5,6.1582E+5
sp|P08254|MMP3_HUMAN / sp|P09238|MMP10_HUMAN,"Stromelysin-1 OS=Homo sapiens OX=9606 GN=MMP3 PE=1 SV=2
Stromelysin-2 OS=Homo sapiens OX=9606 GN=MMP10 PE=1 SV=1",MMP3 / MMP10,8.9457E+5,1.2765E+6,3.3367E+5,9.7535E+5,3.4198E+5,3.6698E+6,3.3978E+5,2.4487E+7,3.9031E+6,5.0782E+6,7.8870E+5,1.1224E+6,8.4147E+5,4.2937E+5,7.7735E+5,5.8374E+5,4.3733E+5,4.6752E+5,6.9365E+5,2.8479E+5,7.6188E+5,1.4428E+6,3.5412E+5,3.5695E+5,3.6728E+5,1.0949E+6,7.6070E+5,3.7322E+5,2.5894E+5,4.7910E+5,3.5327E+5,7.8142E+4,1.4007E+6,4.4414E+5,4.2693E+6,4.2220E+5,2.1358E+6,3.2465E+6,1.7437E+5,3.8812E+5,9.1239E+4,2.0422E+5,4.5978E+5,1.0004E+5,6.5227E+5,1.1232E+5,1.7349E+5,2.4663E+5
sp|P14618|KPYM_HUMAN,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,PKM,6.1471E+8,9.2805E+8,6.5048E+8,7.2446E+8,8.7996E+8,7.0568E+8,7.5330E+8,5.5987E+8,6.9968E+8,6.3844E+8,3.5836E+8,3.9244E+8,3.8541E+8,3.6323E+8,6.6680E+8,6.4426E+8,6.4660E+8,6.8928E+8,6.2161E+8,5.8872E+8,5.7817E+8,4.8562E+8,6.7467E+8,4.9383E+8,7.9183E+8,6.7490E+8,4.9216E+8,6.9149E+8,6.3792E+8,7.7100E+8,6.3047E+8,8.5795E+8,4.7225E+8,7.4411E+8,5.1036E+8,3.8564E+8,6.9120E+8,5.5748E+8,6.0615E+8,6.9602E+8,7.7957E+8,5.6854E+8,8.3193E+8,6.7177E+8,6.1399E+8,5.9208E+8,6.0822E+8,5.1434E+8
sp|P58215|LOXL3_HUMAN,Lysyl oxidase homolog 3 OS=Homo sapiens OX=9606 GN=LOXL3 PE=1 SV=1,LOXL3,1.6077E+6,1.1385E+6,1.7053E+6,1.9882E+6,4.1414E+6,3.0506E+6,1.5948E+6,4.2841E+6,4.7042E+6,9.0827E+5,1.4625E+6,4.1366E+5,1.0992E+6,6.7402E+5,1.9010E+6,9.9254E+5,9.6801E+5,1.2640E+6,1.4899E+6,2.1382E+6,1.0067E+6,2.0427E+6,8.3451E+5,9.9822E+5,1.0343E+6,7.4628E+5,1.2322E+6,1.2798E+6,1.9728E+6,1.8947E+6,1.9656E+6,1.5868E+6,6.9191E+5,9.7417E+5,1.0149E+6,1.6499E+6,1.1208E+6,1.4017E+6,1.0246E+6,9.6799E+5,5.5178E+5,1.0631E+6,2.5090E+5,7.5751E+5,7.2680E+5,2.1671E+6,2.7101E+6,1.5401E+6
sp|Q14766|LTBP1_HUMAN,Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4,LTBP1,4.7344E+8,6.2660E+8,3.4857E+8,1.1030E+9,5.9978E+8,3.0720E+8,4.8924E+8,6.1009E+8,6.2616E+8,9.7927E+8,3.8658E+8,4.1369E+8,3.9500E+8,3.7460E+8,3.5022E+8,3.4450E+8,3.2552E+8,3.6087E+8,4.5145E+8,3.2730E+8,8.5788E+8,1.1302E+9,6.0357E+8,3.2812E+8,2.3031E+8,4.4634E+8,4.0588E+8,3.0841E+8,3.1274E+8,2.9262E+8,2.4397E+8,2.8564E+8,3.2353E+8,2.9005E+8,3.3729E+8,3.0198E+8,4.1120E+8,3.9031E+8,3.6540E+8,2.8126E+8,2.6165E+8,2.9652E+8,5.2893E+8,3.2031E+8,2.4055E+8,3.2145E+8,3.6292E+8,2.3060E+8
sp|Q8TER0|SNED1_HUMAN,"Sushi, nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNED1 PE=1 SV=2",SNED1,1.1427E+7,1.2892E+7,7.8130E+6,8.7540E+6,1.5469E+7,2.1715E+7,7.5792E+6,7.7600E+7,2.8884E+7,1.9165E+7,1.4559E+7,1.6803E+7,1.7491E+7,1.6056E+7,6.5263E+6,6.0843E+6,6.5236E+6,4.0323E+6,1.1033E+7,2.5796E+6,1.5452E+7,3.3556E+7,1.5439E+7,3.3233E+6,2.1053E+6,3.7592E+6,3.1299E+7,1.5390E+7,9.1139E+6,4.9378E+6,2.8747E+6,2.7416E+6,6.0302E+6,7.0186E+6,1.4403E+7,3.4940E+6,7.8028E+6,3.7562E+7,4.1475E+6,7.5613E+6,4.0727E+6,5.6651E+6,7.4840E+6,1.0323E+7,5.7211E+6,1.6165E+6,2.1467E+6,4.3023E+6
sp|Q96KP4|CNDP2_HUMAN,Cytosolic non-specific dipeptidase OS=Homo sapiens OX=9606 GN=CNDP2 PE=1 SV=2,CNDP2,1.0304E+7,1.5285E+7,9.2754E+6,9.6500E+6,1.3424E+7,1.7006E+7,9.7383E+6,2.1269E+7,1.2441E+7,8.6399E+6,1.1684E+7,8.6372E+6,8.1615E+6,7.5664E+6,1.1286E+7,9.7803E+6,7.3155E+6,9.1984E+6,1.0921E+7,7.1909E+6,7.5918E+6,1.4783E+7,7.7880E+6,6.1614E+6,1.0601E+7,1.0553E+7,1.1668E+7,1.1029E+7,7.1084E+6,1.2096E+7,6.9632E+6,8.8473E+6,8.3675E+6,8.7265E+6,8.3661E+6,8.3718E+6,9.2563E+6,1.1683E+7,1.0012E+7,1.1643E+7,1.2224E+7,7.4596E+6,1.2719E+7,1.0524E+7,1.0341E+7,8.5257E+6,8.8106E+6,7.2865E+6
sp|O00743|PPP6_HUMAN,Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP6C PE=1 SV=1,PPP6C,1.7943E+7,1.6142E+7,1.4702E+7,1.4164E+7,1.1859E+7,1.9607E+7,1.3813E+7,2.5545E+7,2.4594E+7,1.4578E+7,1.6226E+7,1.9126E+7,1.5658E+7,1.9022E+7,1.4759E+7,1.2688E+7,1.3975E+7,1.3566E+7,1.4450E+7,1.3836E+7,1.2762E+7,1.6967E+7,1.2677E+7,1.4043E+7,1.2875E+7,1.3726E+7,2.7682E+7,1.2509E+7,1.0759E+7,1.5392E+7,1.2987E+7,1.1370E+7,1.9647E+7,1.1760E+7,1.5507E+7,1.3479E+7,1.5496E+7,1.7251E+7,1.5264E+7,1.0775E+7,1.4462E+7,1.4936E+7,1.4044E+7,1.4574E+7,1.5722E+7,1.4783E+7,1.4232E+7,1.3890E+7
sp|P01116|RASK_HUMAN,GTPase KRas OS=Homo sapiens OX=9606 GN=KRAS PE=1 SV=1,KRAS,1.4663E+7,1.4474E+7,1.1624E+7,1.3023E+7,1.4119E+7,1.6251E+7,1.4531E+7,5.8339E+7,1.5998E+7,1.4035E+7,8.2096E+6,1.0990E+7,9.9105E+6,6.8398E+6,1.0007E+7,1.0898E+7,1.2211E+7,9.9104E+6,1.4266E+7,1.0163E+7,1.1372E+7,6.7650E+6,1.2836E+7,8.8711E+6,1.2212E+7,1.4920E+7,1.4681E+7,1.6281E+7,1.0208E+7,1.3062E+7,9.7206E+6,1.2216E+7,9.2691E+6,1.3159E+7,1.1229E+7,1.0663E+7,1.4030E+7,2.0264E+7,1.1068E+7,1.2662E+7,1.0953E+7,1.0497E+7,1.3311E+7,1.4705E+7,1.2846E+7,1.1342E+7,1.1750E+7,1.3514E+7
sp|P08754|GNAI3_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3,GNAI3,1.2960E+8,1.7436E+8,9.1815E+7,9.9833E+7,1.4809E+8,8.9824E+7,9.7911E+7,1.5566E+8,1.8992E+8,9.0061E+7,1.3830E+8,1.9621E+8,1.2319E+8,1.2104E+8,1.4855E+8,1.1655E+8,9.5641E+7,1.1134E+8,1.4722E+8,1.2185E+8,9.8457E+7,1.6415E+8,1.1043E+8,1.1553E+8,1.4324E+8,9.1110E+7,1.6061E+8,1.2178E+8,1.0624E+8,1.1924E+8,1.1343E+8,1.1451E+8,1.5808E+8,1.4386E+8,1.0802E+8,1.1176E+8,9.7224E+7,1.4603E+8,1.4155E+8,1.4537E+8,9.3828E+7,1.2725E+8,1.5832E+8,1.0106E+8,8.6668E+7,1.0936E+8,1.3624E+8,1.1060E+8
sp|P30566|PUR8_HUMAN,Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2,ADSL,2.3324E+6,3.9075E+6,2.1680E+6,2.3230E+6,3.2725E+6,2.1326E+6,1.8093E+6,7.5854E+6,4.2144E+6,2.4597E+6,4.2014E+6,2.1646E+6,4.4273E+6,2.5544E+6,2.0195E+6,1.6403E+6,2.3272E+6,5.5925E+5,2.5047E+6,3.3559E+6,1.5795E+6,2.5074E+6,2.5740E+6,3.0593E+6,2.3431E+6,1.9230E+6,1.9508E+6,3.2557E+6,2.9362E+6,1.3726E+6,3.9874E+6,4.3116E+6,1.6255E+6,2.8438E+6,2.2783E+6,2.9497E+6,1.3941E+6,4.6101E+6,1.8162E+6,2.1797E+6,1.8420E+6,2.9222E+6,1.8151E+6,1.5079E+6,1.6626E+6,2.7735E+6,3.3249E+6,1.6429E+6
sp|Q93084|AT2A3_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3 PE=1 SV=3,ATP2A3,4.7337E+8,3.6235E+8,3.9293E+8,3.7735E+8,4.2866E+8,4.2361E+8,4.5514E+8,3.1594E+8,4.9987E+8,3.7911E+8,4.6766E+8,4.6943E+8,4.7366E+8,4.2476E+8,4.0742E+8,4.0474E+8,3.8470E+8,4.1242E+8,4.0920E+8,4.1357E+8,3.5277E+8,4.2692E+8,3.6414E+8,4.1543E+8,4.6872E+8,3.5213E+8,3.8943E+8,3.8915E+8,3.2108E+8,4.0649E+8,3.9456E+8,4.0541E+8,4.7314E+8,3.8571E+8,3.9047E+8,4.0419E+8,3.6160E+8,3.9946E+8,4.3202E+8,3.6138E+8,3.4544E+8,4.5818E+8,3.9598E+8,4.2351E+8,3.8861E+8,4.5088E+8,4.5397E+8,4.1726E+8
sp|Q96N67|DOCK7_HUMAN,Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4,DOCK7,1.0590E+7,7.3495E+6,6.0304E+6,8.4162E+6,8.0958E+6,1.0342E+7,5.4320E+6,2.9752E+7,1.7869E+7,6.8400E+6,9.4206E+6,7.9477E+6,6.7312E+6,8.1588E+6,4.3586E+6,4.3133E+6,4.0117E+6,4.9301E+6,5.9708E+6,3.5170E+6,8.3258E+6,8.3747E+6,5.8853E+6,5.9029E+6,4.8092E+6,3.7969E+6,1.1745E+7,6.4381E+6,4.1375E+6,6.1795E+6,3.7153E+6,4.7330E+6,7.2377E+6,4.0951E+6,4.9602E+6,3.4267E+6,6.2518E+6,1.3864E+7,3.8216E+6,4.8091E+6,5.0499E+6,4.1913E+6,1.0539E+7,7.3312E+6,5.2160E+6,4.5161E+6,4.7029E+6,4.1958E+6
sp|Q9UBS9|SUCO_HUMAN,SUN domain-containing ossification factor OS=Homo sapiens OX=9606 GN=SUCO PE=1 SV=1,SUCO,2.4028E+6,2.7670E+6,1.3378E+6,1.3044E+6,3.6292E+6,1.0942E+7,1.9173E+6,2.0184E+7,9.2037E+6,4.3852E+6,5.6966E+6,2.8112E+6,9.1381E+6,6.5851E+6,1.4348E+6,7.6336E+5,1.5904E+6,1.8435E+6,6.6975E+6,3.7159E+5,5.2360E+6,7.2604E+6,2.8480E+6,6.6512E+5,1.6628E+6,8.2072E+5,4.5218E+6,4.8993E+6,8.4500E+5,1.8777E+6,9.4048E+4,2.8300E+5,2.9529E+6,1.3496E+6,1.8041E+6,7.2309E+5,2.1400E+6,1.0754E+7,3.3737E+5,1.4226E+6,2.8218E+5,1.1405E+6,1.2170E+6,1.8804E+6,7.6067E+5,4.0479E+5,3.5159E+5,1.1688E+6
sp|Q9UEY8|ADDG_HUMAN,Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,ADD3,2.7558E+7,1.0526E+8,9.6286E+6,2.0779E+7,3.3880E+7,3.3072E+7,1.6144E+7,9.4623E+7,6.3320E+7,3.7906E+7,1.7089E+7,1.8413E+7,1.4156E+7,2.9345E+7,2.7440E+7,1.4975E+7,1.1227E+7,1.0362E+7,2.0578E+7,7.6026E+6,2.4378E+7,1.2172E+8,1.5270E+7,9.0967E+6,1.1243E+7,6.6154E+6,2.6809E+7,4.4787E+7,7.3404E+6,1.2136E+7,1.5048E+7,3.9125E+6,1.2513E+7,1.1734E+7,1.1621E+7,1.1542E+7,1.0432E+8,6.3634E+7,1.2418E+7,9.9156E+6,2.2840E+7,8.8224E+6,3.1231E+7,1.6462E+7,1.3593E+7,6.8176E+6,6.8865E+6,9.6590E+6
sp|Q9UGU0|TCF20_HUMAN,Transcription factor 20 OS=Homo sapiens OX=9606 GN=TCF20 PE=1 SV=3,TCF20,8.2817E+5,8.2983E+5,1.8606E+5,2.8104E+5,4.0626E+5,6.0248E+5,3.4537E+5,0.0000E+0,5.7317E+4,3.0817E+5,4.1461E+5,7.0911E+5,3.7021E+5,3.4000E+5,6.9902E+5,2.9617E+5,1.9905E+5,3.5871E+5,4.6824E+5,3.0526E+5,2.7194E+5,6.6862E+5,1.6304E+5,1.7922E+5,3.2952E+5,3.6120E+5,3.2587E+5,3.4596E+5,2.3055E+5,3.9834E+5,7.5913E+5,4.8487E+5,5.8392E+5,5.3000E+5,2.2476E+5,5.5712E+5,1.5701E+5,4.4844E+5,1.7119E+5,9.0711E+5,2.8260E+5,5.8578E+5,3.9513E+5,3.1951E+5,5.1062E+5,3.2262E+5,2.2105E+5,4.1949E+5
sp|Q9Y2G3|AT11B_HUMAN,Phospholipid-transporting ATPase IF OS=Homo sapiens OX=9606 GN=ATP11B PE=1 SV=2,ATP11B,6.2596E+5,2.9058E+5,5.7678E+5,1.3701E+6,6.2269E+5,1.1534E+6,4.4588E+5,1.4931E+6,8.8589E+5,1.2626E+6,8.2775E+5,4.7920E+5,7.0827E+5,6.7533E+5,5.5215E+5,6.8874E+5,7.7586E+5,8.2480E+5,6.8734E+5,4.5440E+5,1.2400E+6,1.0412E+6,7.1130E+5,5.0911E+5,7.6384E+5,6.7603E+5,2.0423E+5,3.9339E+5,4.3372E+5,6.5890E+5,5.9105E+5,5.4317E+5,5.7600E+5,4.8790E+5,6.7352E+5,5.9227E+5,7.0878E+5,9.1775E+5,5.7404E+5,6.1584E+5,8.7488E+5,7.3402E+5,4.9587E+5,5.5771E+5,5.4272E+5,6.0665E+5,5.5203E+5,6.9901E+5
sp|Q9Y6B6|SAR1B_HUMAN,GTP-binding protein SAR1b OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1,SAR1B,4.8809E+7,5.4565E+7,5.1012E+7,6.6973E+7,5.9478E+7,5.3684E+7,5.3193E+7,5.6643E+7,5.0870E+7,4.9896E+7,3.3145E+7,2.8938E+7,3.2373E+7,3.0414E+7,4.6113E+7,4.7590E+7,4.8505E+7,4.5754E+7,5.4669E+7,4.9717E+7,4.8366E+7,4.8685E+7,5.5665E+7,4.0542E+7,5.4665E+7,4.4917E+7,3.8413E+7,5.1109E+7,3.7918E+7,5.2463E+7,4.8321E+7,4.6375E+7,3.4271E+7,3.9367E+7,3.7042E+7,5.2555E+7,5.6938E+7,4.1810E+7,4.6041E+7,4.2509E+7,4.7274E+7,3.7447E+7,5.5287E+7,5.2083E+7,4.8986E+7,4.6243E+7,5.3395E+7,4.3301E+7
sp|P04908|H2A1B_HUMAN / sp|Q7L7L0|H2A3_HUMAN / sp|Q93077|H2A1C_HUMAN,"Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC8 PE=1 SV=2
Histone H2A type 3 OS=Homo sapiens OX=9606 GN=H2AW PE=1 SV=3
Histone H2A type 1-C OS=Homo sapiens OX=9606 GN=H2AC6 PE=1 SV=3",H2AC8 / H2AW / H2AC6,4.9237E+8,3.7275E+7,1.1596E+7,3.9889E+7,4.3154E+7,2.9424E+7,1.7186E+7,1.1403E+8,1.6844E+8,2.7001E+7,6.5422E+8,6.3520E+8,7.0515E+8,5.3635E+8,2.6017E+7,2.8132E+7,2.6613E+7,2.8271E+7,4.8199E+7,7.5722E+6,2.7029E+7,2.9913E+7,3.0649E+7,7.4936E+6,2.0469E+7,1.0085E+7,5.6889E+7,5.7383E+7,2.6601E+7,1.1648E+7,1.8080E+7,5.9479E+7,8.1257E+7,5.6111E+6,7.1408E+7,9.1262E+6,2.8484E+7,1.2033E+8,8.9973E+6,1.7176E+7,1.3724E+8,4.6805E+6,1.6457E+7,2.5768E+7,1.0791E+7,3.6904E+6,1.3136E+7,1.1931E+7
